Date,SKU,Category,Price,Sales,Stock,Promotion
2025-01-01,SKU003,Personal Care,77.75,52,98,0
2025-01-02,SKU003,Personal Care,71.98,53,97,0
2025-01-03,SKU003,Personal Care,77.27,41,109,0
2025-01-04,SKU003,Personal Care,74.46,40,110,0
2025-01-05,SKU003,Personal Care,77.71,52,98,1
2025-01-06,SKU003,Personal Care,76.96,44,106,0
2025-01-07,SKU003,Personal Care,75.41,65,85,1
2025-01-08,SKU003,Personal Care,76.85,52,98,0
2025-01-09,SKU003,Personal Care,78.5,59,91,0
2025-01-10,SKU003,Personal Care,76.12,54,96,0
2025-01-11,SKU003,Personal Care,73.67,55,95,0
2025-01-12,SKU003,Personal Care,76.53,64,86,1
2025-01-13,SKU003,Personal Care,78.04,57,93,1
2025-01-14,SKU003,Personal Care,74.47,71,79,1
2025-01-15,SKU003,Personal Care,77.91,47,103,0
2025-01-16,SKU003,Personal Care,74.76,41,109,0
2025-01-17,SKU003,Personal Care,73.36,59,91,0
2025-01-18,SKU003,Personal Care,77.33,59,91,0
2025-01-19,SKU003,Personal Care,76.29,50,100,0
2025-01-20,SKU003,Personal Care,78.2,49,101,0
2025-01-21,SKU003,Personal Care,73.98,50,100,0
2025-01-22,SKU003,Personal Care,73.07,45,105,0
2025-01-23,SKU003,Personal Care,72.46,43,107,0
2025-01-24,SKU003,Personal Care,75.61,43,107,0
2025-01-25,SKU003,Personal Care,77.21,44,106,0
2025-01-26,SKU003,Personal Care,75.25,57,93,0
2025-01-27,SKU003,Personal Care,74.26,49,101,0
2025-01-28,SKU003,Personal Care,74.24,41,109,0
2025-01-29,SKU003,Personal Care,78.73,50,100,0
2025-01-30,SKU003,Personal Care,76.19,40,110,0
2025-01-31,SKU003,Personal Care,73.81,58,92,1
2025-02-01,SKU003,Personal Care,78.11,42,108,0
2025-02-02,SKU003,Personal Care,73.48,51,99,0
2025-02-03,SKU003,Personal Care,72.28,76,74,1
2025-02-04,SKU003,Personal Care,77.58,60,90,1
2025-02-05,SKU003,Personal Care,74.26,49,101,0
2025-02-06,SKU003,Personal Care,72.5,59,91,0
2025-02-07,SKU003,Personal Care,77.83,45,105,0
2025-02-08,SKU003,Personal Care,76.19,57,93,0
2025-02-09,SKU003,Personal Care,72.05,55,95,0
2025-02-10,SKU003,Personal Care,74.59,45,105,0
2025-02-11,SKU003,Personal Care,74.8,77,73,1
2025-02-12,SKU003,Personal Care,74.85,52,98,0
2025-02-13,SKU003,Personal Care,72.03,52,98,0
2025-02-14,SKU003,Personal Care,77.17,53,97,0
2025-02-15,SKU003,Personal Care,74.41,59,91,1
2025-02-16,SKU003,Personal Care,72.23,59,91,0
2025-02-17,SKU003,Personal Care,72.17,49,101,0
2025-02-18,SKU003,Personal Care,77.54,58,92,0
2025-02-19,SKU003,Personal Care,76.97,72,78,1
2025-02-20,SKU003,Personal Care,75.25,52,98,0
2025-02-21,SKU003,Personal Care,76.36,43,107,0
2025-02-22,SKU003,Personal Care,71.97,52,98,0
2025-02-23,SKU003,Personal Care,71.85,41,109,0
2025-02-24,SKU003,Personal Care,75.27,41,109,0
2025-02-25,SKU003,Personal Care,73.54,47,103,0
2025-02-26,SKU003,Personal Care,74.9,67,83,1
2025-02-27,SKU003,Personal Care,76.46,59,91,0
2025-02-28,SKU003,Personal Care,73.2,55,95,0
2025-03-01,SKU003,Personal Care,74.53,45,105,0
2025-03-02,SKU003,Personal Care,72.64,43,107,0
2025-03-03,SKU003,Personal Care,73.79,58,92,0
2025-03-04,SKU003,Personal Care,72.49,42,108,0
2025-03-05,SKU003,Personal Care,72.66,47,103,0
2025-03-06,SKU003,Personal Care,74.86,52,98,0
2025-03-07,SKU003,Personal Care,74.41,52,98,0
2025-03-08,SKU003,Personal Care,74.97,48,102,0
2025-03-09,SKU003,Personal Care,78.0,40,110,0
2025-03-10,SKU003,Personal Care,76.56,50,100,0
2025-03-11,SKU003,Personal Care,74.63,59,91,0
2025-03-12,SKU003,Personal Care,78.05,59,91,1
2025-03-13,SKU003,Personal Care,76.74,43,107,0
2025-03-14,SKU003,Personal Care,72.2,53,97,0
2025-03-15,SKU003,Personal Care,77.73,50,100,0
2025-03-16,SKU003,Personal Care,75.74,45,105,0
2025-03-17,SKU003,Personal Care,74.48,46,104,0
2025-03-18,SKU003,Personal Care,73.74,64,86,1
2025-03-19,SKU003,Personal Care,74.21,48,102,0
2025-03-20,SKU003,Personal Care,73.96,51,99,0
2025-03-21,SKU003,Personal Care,77.17,48,102,0
2025-03-22,SKU003,Personal Care,72.88,59,91,0
2025-03-23,SKU003,Personal Care,73.8,50,100,0
